file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
NASDAQ_AIRT_2020.parquet,ok,142,0,1.9,
NASDAQ_AIRT_2021.parquet,ok,143,0,1.8,
NASDAQ_AKAM_2019.parquet,ok,15,0,2.2,
NASDAQ_AKAM_2020.parquet,ok,157,0,2.0,
NASDAQ_AKAM_2021.parquet,ok,129,0,2.0,
NASDAQ_AKAM_2022.parquet,ok,161,0,4.6,
NASDAQ_AKBA_2019.parquet,ok,417,0,3.9,
NASDAQ_AKBA_2020.parquet,ok,490,0,3.6,
NASDAQ_AKBA_2021.parquet,ok,750,0,3.9,
NASDAQ_AKBA_2022.parquet,ok,544,0,3.0,
NASDAQ_AKCA_2017.parquet,ok,273,0,2.3,
NASDAQ_AKCA_2018.parquet,ok,358,0,2.8,
NASDAQ_AKER_2016.parquet,ok,166,0,2.3,
NASDAQ_AKER_2017.parquet,ok,181,0,1.8,
NASDAQ_AKER_2018.parquet,ok,149,0,1.7,
NASDAQ_AKER_2019.parquet,ok,193,0,1.9,
NASDAQ_AKRO_2019.parquet,ok,428,0,2.7,
NASDAQ_AKRO_2020.parquet,ok,262,0,2.1,
NASDAQ_AKRO_2021.parquet,ok,287,0,2.1,
NASDAQ_AKRX_2015.parquet,ok,470,0,3.1,
NASDAQ_AKRX_2016.parquet,ok,165,0,1.9,
NASDAQ_AKRX_2017.parquet,ok,218,0,2.3,
NASDAQ_AKRX_2018.parquet,ok,167,0,1.8,
NASDAQ_AKTS_2017.parquet,ok,152,0,1.8,
NASDAQ_AKTS_2018.parquet,ok,142,0,1.7,
NASDAQ_AKTS_2019.parquet,ok,238,0,2.0,
NASDAQ_AKTS_2020.parquet,ok,151,0,1.9,
NASDAQ_AKTS_2021.parquet,ok,140,0,1.7,
NASDAQ_AKTX_2017.parquet,ok,1,0,1.2,
NASDAQ_AKTX_2018.parquet,ok,54,0,1.4,
NASDAQ_AKTX_2019.parquet,ok,59,0,1.4,
NASDAQ_AKTX_2020.parquet,ok,63,0,1.4,
NASDAQ_AKTX_2021.parquet,ok,62,0,1.4,
NASDAQ_ALBO_2019.parquet,ok,242,0,2.0,
NASDAQ_ALBO_2020.parquet,ok,241,0,2.0,
NASDAQ_ALCO_2019.parquet,ok,204,0,2.1,
NASDAQ_ALCO_2020.parquet,ok,208,0,2.4,
NASDAQ_ALCO_2021.parquet,ok,272,0,3.0,
NASDAQ_ALCO_2022.parquet,ok,360,0,8.2,
NASDAQ_ALDR_2015.parquet,ok,172,0,3.2,
NASDAQ_ALDR_2016.parquet,ok,218,0,2.3,
NASDAQ_ALDR_2017.parquet,ok,250,0,6.8,
NASDAQ_ALDR_2018.parquet,ok,401,0,2.7,
NASDAQ_ALDX_2017.parquet,ok,183,0,1.8,
NASDAQ_ALDX_2018.parquet,ok,200,0,1.9,
NASDAQ_ALDX_2019.parquet,ok,240,0,2.0,
NASDAQ_ALDX_2020.parquet,ok,219,0,2.2,
NASDAQ_ALDX_2021.parquet,ok,239,0,2.2,
NASDAQ_ALEC_2018.parquet,ok,238,0,2.1,
NASDAQ_ALEC_2019.parquet,ok,262,0,2.2,
NASDAQ_ALEC_2020.parquet,ok,255,0,2.4,
NASDAQ_ALEC_2021.parquet,ok,277,0,6.0,
NASDAQ_ALGN_2019.parquet,ok,310,0,2.7,
NASDAQ_ALGN_2020.parquet,ok,258,0,2.2,
NASDAQ_ALGN_2021.parquet,ok,231,0,2.0,
NASDAQ_ALGN_2022.parquet,ok,478,0,3.2,
NASDAQ_ALGT_2019.parquet,ok,124,0,1.7,
NASDAQ_ALGT_2020.parquet,ok,135,0,1.7,
NASDAQ_ALGT_2021.parquet,ok,118,0,1.7,
NASDAQ_ALGT_2022.parquet,ok,242,0,2.2,
NASDAQ_ALIM_2019.parquet,ok,312,0,5.4,
NASDAQ_ALIM_2020.parquet,ok,196,0,2.1,
