pdf_path,status,elapsed_seconds,n_chunks_word_count,form_type,company_name_mismatch,n_chunks_numeric_dense,error
../downolad_files\data/nasdaq_annual_reports/Insmed-Incorporated/NASDAQ_INSM_2019.pdf,ok,35.8,218,,,28,
../downolad_files\data/nasdaq_annual_reports/Insmed-Incorporated/NASDAQ_INSM_2020.pdf,ok,40.6,216,10-K,False,27,
../downolad_files\data/nasdaq_annual_reports/Insulet-corporation/NASDAQ_PODD_2016.pdf,ok,47.1,283,10-K,False,55,
../downolad_files\data/nasdaq_annual_reports/Insmed-Incorporated/NASDAQ_INSM_2018.pdf,ok,110.9,207,10-K,False,30,
../downolad_files\data/nasdaq_annual_reports/Insulet-corporation/NASDAQ_PODD_2019.pdf,ok,66.2,154,10-K,False,40,
../downolad_files\data/nasdaq_annual_reports/Insulet-corporation/NASDAQ_PODD_2020.pdf,ok,65.4,157,10-K,False,39,
../downolad_files\data/nasdaq_annual_reports/Insulet-corporation/NASDAQ_PODD_2017.pdf,ok,103.0,172,10-K,False,47,
../downolad_files\data/nasdaq_annual_reports/Insulet-corporation/NASDAQ_PODD_2018.pdf,ok,99.8,167,10-K,False,49,
../downolad_files\data/nasdaq_annual_reports/Insmed-Incorporated/NASDAQ_INSM_2017.pdf,ok,149.9,342,10-K,False,34,
../downolad_files\data/nasdaq_annual_reports/Insys-therapeutics-Inc/NASDAQ_INSY_2015.pdf,ok,114.4,264,10-K,False,37,
../downolad_files\data/nasdaq_annual_reports/Insys-therapeutics-Inc/NASDAQ_INSY_2016.pdf,ok,109.6,252,10-K,False,45,
../downolad_files\data/nasdaq_annual_reports/Insys-therapeutics-Inc/NASDAQ_INSY_2017.pdf,ok,123.2,284,10-K,False,44,
../downolad_files\data/nasdaq_annual_reports/Insys-therapeutics-Inc/NASDAQ_INSY_2018.pdf,ok,120.4,289,10-K,False,45,
../downolad_files\data/nasdaq_annual_reports/Intellia-Therapeutics-Inc/NASDAQ_NTLA_2018.pdf,ok,111.5,278,10-K,False,22,
../downolad_files\data/nasdaq_annual_reports/Intellia-Therapeutics-Inc/NASDAQ_NTLA_2019.pdf,ok,121.3,310,10-K,False,22,
../downolad_files\data/nasdaq_annual_reports/Intersect-ENT-Inc/NASDAQ_XENT_2018.pdf,ok,23.1,133,10-K,False,13,
../downolad_files\data/nasdaq_annual_reports/Intersect-ENT-Inc/NASDAQ_XENT_2015.pdf,ok,29.4,133,10-K,False,13,
../downolad_files\data/nasdaq_annual_reports/Intellia-Therapeutics-Inc/NASDAQ_NTLA_2020.pdf,ok,59.3,250,10-K,False,14,
../downolad_files\data/nasdaq_annual_reports/Intersect-ENT-Inc/NASDAQ_XENT_2017.pdf,ok,34.3,129,10-K,False,15,
../downolad_files\data/nasdaq_annual_reports/Intersect-ENT-Inc/NASDAQ_XENT_2019.pdf,ok,25.2,141,10-K,False,15,
../downolad_files\data/nasdaq_annual_reports/Intellia-Therapeutics-Inc/NASDAQ_NTLA_2021.pdf,ok,64.3,273,10-K,False,14,
../downolad_files\data/nasdaq_annual_reports/Intersect-ENT-Inc/NASDAQ_XENT_2020.pdf,ok,30.4,11,,,0,
../downolad_files\data/nasdaq_annual_reports/Intra-Cellular-therapies-Inc/NASDAQ_ITCI_2016.pdf,ok,31.8,222,10-K,False,25,
../downolad_files\data/nasdaq_annual_reports/Intra-Cellular-therapies-Inc/NASDAQ_ITCI_2017.pdf,ok,72.0,222,10-K,False,24,
../downolad_files\data/nasdaq_annual_reports/Intra-Cellular-therapies-Inc/NASDAQ_ITCI_2020.pdf,ok,65.3,217,10-K,False,26,
../downolad_files\data/nasdaq_annual_reports/Intra-Cellular-therapies-Inc/NASDAQ_ITCI_2018.pdf,ok,71.8,224,10-K,False,25,
../downolad_files\data/nasdaq_annual_reports/Investors-Bancorp-Inc/NASDAQ_ISBC_2016.pdf,ok,49.9,317,10-K,False,77,
../downolad_files\data/nasdaq_annual_reports/Intra-Cellular-therapies-Inc/NASDAQ_ITCI_2019.pdf,ok,72.8,251,10-K,False,23,
../downolad_files\data/nasdaq_annual_reports/Investors-Bancorp-Inc/NASDAQ_ISBC_2017.pdf,ok,54.2,319,10-K,False,80,
../downolad_files\data/nasdaq_annual_reports/Microstrategy/NASDAQ_MSTR_2016.pdf,ok,25.0,166,10-K,False,43,
../downolad_files\data/nasdaq_annual_reports/Microstrategy/NASDAQ_MSTR_2017.pdf,ok,28.4,174,10-K,False,36,
../downolad_files\data/nasdaq_annual_reports/Microstrategy/NASDAQ_MSTR_2018.pdf,ok,28.7,141,10-K,False,40,
