pdf_path,company,registrant_name,company_name_mismatch,error
../downolad_files/data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2019.pdf,Innospec-Inc,INNOSPEC INC.,False,
../downolad_files/data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2020.pdf,Innospec-Inc,INNOSPEC INC.,False,
../downolad_files/data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2017.pdf,Inogen-Inc,"INOGEN, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2016.pdf,Inogen-Inc,"INOGEN, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2019.pdf,Inogen-Inc,"INOGEN, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2016.pdf,Insmed-Incorporated,INSMED INCORPORATED,False,
../downolad_files/data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2020.pdf,Inogen-Inc,"INOGEN, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2018.pdf,Inogen-Inc,"INOGEN, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2019.pdf,Insmed-Incorporated,,,
../downolad_files/data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2017.pdf,Insmed-Incorporated,INSMED INCORPORATED,False,
../downolad_files/data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2020.pdf,Insmed-Incorporated,INSMED INCORPORATED,False,
../downolad_files/data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2016.pdf,Insulet-corporation,INSULET CORPORATION,False,
../downolad_files/data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2018.pdf,Insmed-Incorporated,INSMED INCORPORATED,False,
../downolad_files/data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2017.pdf,Insulet-corporation,INSULET CORPORATION,False,
../downolad_files/data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2018.pdf,Insulet-corporation,INSULET CORPORATION,False,
../downolad_files/data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2019.pdf,Insulet-corporation,INSULET CORPORATION,False,
../downolad_files/data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2020.pdf,Insulet-corporation,INSULET CORPORATION,False,
