path,pages,words,paragraphs,sliding_window_chunks,error
data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2016.pdf,193,85678,194,1713,
data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2017.pdf,110,56873,1522,1137,
data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2018.pdf,93,54698,1681,1093,
data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2019.pdf,84,49864,116,997,
data/nasdaq_annual_reports\Insulet-corporation\NASDAQ_PODD_2020.pdf,88,51000,93,1019,
data/nasdaq_annual_reports\Insys-therapeutics-Inc\NASDAQ_INSY_2015.pdf,149,85598,3506,1711,
data/nasdaq_annual_reports\Insys-therapeutics-Inc\NASDAQ_INSY_2016.pdf,146,81243,2916,1624,
data/nasdaq_annual_reports\Insys-therapeutics-Inc\NASDAQ_INSY_2017.pdf,161,91855,2638,1837,
data/nasdaq_annual_reports\Insys-therapeutics-Inc\NASDAQ_INSY_2018.pdf,159,93622,3002,1872,
data/nasdaq_annual_reports\Intellia-Therapeutics-Inc\NASDAQ_NTLA_2018.pdf,151,89509,1812,1790,
data/nasdaq_annual_reports\Intellia-Therapeutics-Inc\NASDAQ_NTLA_2019.pdf,163,99127,388,1982,
data/nasdaq_annual_reports\Intellia-Therapeutics-Inc\NASDAQ_NTLA_2020.pdf,144,86250,141,1724,
data/nasdaq_annual_reports\Intellia-Therapeutics-Inc\NASDAQ_NTLA_2021.pdf,156,101115,154,2022,
data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2015.pdf,156,73854,157,1477,
data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2017.pdf,172,82676,172,1653,
data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2018.pdf,104,50868,113,1017,
data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2019.pdf,112,54340,112,1086,
data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2020.pdf,108,17259,116,345,
data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2016.pdf,141,69403,143,1388,
data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2017.pdf,133,72126,2119,1442,
data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2018.pdf,134,72494,2169,1449,
data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2019.pdf,152,80372,422,1607,
data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2020.pdf,130,69813,792,1396,
data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2016.pdf,229,111750,289,2234,
data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2017.pdf,225,112955,295,2259,
data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2018.pdf,232,116785,348,2335,
data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2019.pdf,235,99568,244,1991,
